"site","service","id","is_active","type","desc","category","security_app","info0","info1","attr0","attr1","attr2","attr3","attr4","attr5","attr6","attr7","attr8","attr9","attr10","attr11","attr12","attr13","attr14","attr15","attr16","attr17","attr18","attr19","attr20","attr21","attr22","attr23","attr24","attr25","attr26","attr27","attr28","attr29","attr30","attr31","attr32","attr33","attr34","attr35","attr36","attr37","attr38","attr39","comment","table0","table1","table2","table3","table4","table5","table6","table7","table8","table9","table10","table11","table12","table13","table14","table15","table16","table17","table18","table19","table20","table21","table22","table23","table24","table25","table26","table27","table28","table29","table30","table31","table32","table33","table34","table35","table36","table37","table38","table39","table40","table41","table42","table43","table44","table45","table46","table47","table48","table49","table50","table51","table52","table53","table54","table55","table56","table57","table58","table59","yes_no0","yes_no1","yes_no2","yes_no3","yes_no4","yes_no5","yes_no6","yes_no7","yes_no8","yes_no9","yes_no10","yes_no11","yes_no12","yes_no13","yes_no14","yes_no15","yes_no16","yes_no17","yes_no18","yes_no19"
TEXAS,UIS,10_162_63_137_5001,Y,COMMDEV,10.162.63.137:5001,COMMDEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,38_40W_1,Y,TOWSCADA,Univ 38-40 Rec Cntr,DDSFAC,,20181128,Poll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE1,,,METER,PND,WTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,38_40W_OT1,Y,TOWSCADA,Univ 38-40 Rec SWD Oil Tank 1,DDSFAC,,,Poll,,,UNIV38_40_POND,,,,,,,,,,,,,,,,,,,,,,,,,,OilTank1,,,,,,,,,,,,,TX,BARNHART,BARNE1,SWD,71151,TANK,,OIL,,,,72257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,38_40W_PMP1,Y,TOWSCADA,Univ 38-40 Rec AST Trnsfr Pump,DDSFAC,,,Poll,,,UNIV38_40_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE1,,71151,METER,PUMP,WTR,,,,72257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,38_40W_PMP2,Y,TOWSCADA,Univ 38-40 Rec Bat Trnsfr Pump,DDSFAC,,,Poll,,,UNIV38_40_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE1,,71151,METER,PUMP,WTR,,,,72257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,38_40W_WT1,Y,TOWSCADA,Univ 38-40 Rec SWD Wtr Tank 1,DDSFAC,,,Poll,,,UNIV38_40_POND,,,,,,,,,,,,,,,,,,,,,,,,,,WaterTank1,,,,,,,,,,,,,TX,BARNHART,BARNE1,SWD,71151,TANK,,WTR,,,,72257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,38_40W_WT2,Y,TOWSCADA,Univ 38-40 Rec SWD Wtr Tank 2,DDSFAC,,,Poll,,,UNIV38_40_POND,,,,,,,,,,,,,,,,,,,,,,,,,,WaterTank2,,,,,,,,,,,,,TX,BARNHART,BARNE1,SWD,71151,TANK,,WTR,,,,72257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,38_40W_WX1,Y,TOWSCADA,Meter 1,DDSFAC,,,Poll,,,UNIV38_40_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE1,SWD,71151,METER,WTRX,WTR,,,,72257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,38_40W_WX2,Y,TOWSCADA,Meter 2,DDSFAC,,,Poll,,,UNIV38_40_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE1,SWD,71151,METER,WTRX,WTR,,,,72257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,38_40W_WX3,Y,TOWSCADA,AST Inlet Meter,DDSFAC,,,Poll,,,UNIV38_40_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE1,SWD,71151,METER,WTRX,WTR,,,,72257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,9C_12_EAST,Y,TOWSCADA,9C 12 East,DDSFAC,,20171103,Poll,,,9C_12_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE3,,71603,,PND,,,,,,,,9C12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
